prompt,provedor,familia,categoria,eh_categoria,marcas_no_prompt,marcas_na_resposta,n_marcas_declarado,n_fontes,relevancia,tam_resposta,seeds,seed_branded
medidas geladeira inverse,google_ai_overview,produto e categoria,geladeira,1,,,3,14,91,173,brastemp,1
brastemp b blend comprar,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,3,11,91,173,brastemp,1
frost free ative brastemp,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,3,10,91,173,brastemp,1
geladeira brastemp ative preço,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,3,7,91,173,brastemp,1
purificador de agua brastemp preco,google_ai_overview,preco e compra,purificador,1,brastemp,brastemp,3,5,91,173,brastemp,1
Purificadores Brastemp,google_ai_mode,produto e categoria,purificador,1,brastemp,brastemp,3,0,91,173,brastemp,1
comprar brastemp b blend,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,3,6,91,173,brastemp,1
brastemp blend preço,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,3,6,91,173,brastemp,1
brastemp purificador de agua preço,google_ai_overview,preco e compra,purificador,1,brastemp,brastemp,3,6,91,173,brastemp,1
promoção geladeira brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,,3,1,91,173,brastemp,1
preço geladeira brastemp ative,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,3,7,91,173,brastemp,1
purificador de água com gás,google_ai_overview,produto e categoria,purificador,1,,,3,7,91,173,brastemp,1
be blend,google_ai_overview,produto e categoria,sem categoria,0,,brastemp,3,4,91,173,brastemp,1
preco de geladeira brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,3,5,91,173,brastemp,1
preço b blend brastemp,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,2,7,91,173,brastemp,1
bebedouro com água com gás brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,2,7,91,173,brastemp,1
maquina de fazer refrigerante brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,2,11,91,173,brastemp,1
purificador de agua brastemp para comprar,google_ai_overview,preco e compra,purificador,1,brastemp,brastemp,2,9,91,173,brastemp,1
brastemp b blend preco,google_ai_overview,preco e compra,sem categoria,0,brastemp,,2,2,91,173,brastemp,1
bebedouro da brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,2,8,91,173,brastemp,1
maquina de bebidas b blend,google_ai_overview,produto e categoria,sem categoria,0,,brastemp,2,8,91,173,brastemp,1
comprar geladeira brastemp frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,2,6,91,173,brastemp,1
geladeira brastenp,google_ai_overview,produto e categoria,geladeira,1,,brastemp,2,10,91,173,brastemp,1
geladeira brastemp bro85ak,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,2,8,91,173,brastemp,1
filtro de água com gás e refrigerante,google_ai_overview,peca e filtro,sem categoria,0,,,2,11,91,173,brastemp,1
geladeira brastemp 554 l,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,2,12,91,173,brastemp,1
geladeira brastemp frost free preço,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,2,2,91,173,brastemp,1
brastemp inverse frost free,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,2,14,91,173,brastemp,1
Purificadores Brastemp,gemini,produto e categoria,purificador,1,brastemp,brastemp,2,0,91,173,brastemp,1
Purificadores Brastemp,chatgpt,produto e categoria,purificador,1,brastemp,brastemp|whirlpool,2,12,91,173,brastemp,1
Qual a diferença entre Brastemp B Blend e outros modelos Brastemp?,chatgpt,comparacao e modelo,sem categoria,0,brastemp,brastemp,2,12,91,173,brastemp,1
Qual a diferença entre Brastemp B Blend e outros modelos Brastemp?,google_ai_mode,comparacao e modelo,sem categoria,0,brastemp,brastemp,2,0,91,173,brastemp,1
refrigerador geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,2,7,91,173,brastemp,1
brastemp b bland,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,2,12,91,173,brastemp,1
maquina que faz refrigerante,google_ai_overview,produto e categoria,sem categoria,0,,,2,8,91,173,brastemp,1
purificador de agua gaseificada brastemp,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,2,4,91,173,brastemp,1
geladeira brastemp frost free duplex 375l branco,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,2,13,91,173,brastemp,1
geladeira frost free brastemp inox,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,2,7,91,173,brastemp,1
preço da geladeira brastemp frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,2,9,91,173,brastemp,1
brastemp b blend preço,google_ai_overview,preco e compra,sem categoria,0,brastemp,brastemp,2,7,91,173,brastemp,1
geladeira brastemp inox frost free inverse,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
lançamento geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
geladeira brastemp 447 l,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
preco da geladeira brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
filtro de agua da brastemp,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
refrigerador brastemp bro85ak,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
maior geladeira da brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
brastemp geladeira evox,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira frost free 2 portas brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira brastemp faz gelo,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
geladeira brastemp 375 l,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
refrigerador brastemp frost free duplex,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
bre57fk brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,10,91,173,brastemp,1
brastemp inverse 447,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,9,91,173,brastemp,1
potencia geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
minha geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,0,91,173,brastemp,1
refrigerador inverse da brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira brastemp duplex frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
largura de geladeira,google_ai_overview,produto e categoria,geladeira,1,,brastemp,1,3,91,173,brastemp,1
geladeira inverse brastemp preço,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
painel da geladeira brastemp frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira brastemp tamanho,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira frost free brastemp inverse inox,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
maquina brastemp refrigerante,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
brastemp geladeira inverse inox,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
geladeira brastemp frost free 554 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp inverse medidas,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp 447,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
filtro de agua com gas,google_ai_overview,peca e filtro,sem categoria,0,,,1,9,91,173,brastemp,1
qual a largura de uma geladeira,google_ai_overview,comparacao e modelo,geladeira,1,,,1,3,91,173,brastemp,1
freezer geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira brastemp inverse frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
refrigerador inverter brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
frost free inverse brastemp,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,8,91,173,brastemp,1
brastemp inverter,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,4,91,173,brastemp,1
geladeira 375 litros brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp 473 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira brastemp french door frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastempe,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
preços de geladeira brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira medidas brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira inox 2 portas brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
manual geladeira brastemp frost free 375 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp|consul,1,8,91,173,brastemp,1
geladeira frost free brastemp 2 portas,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira frost free da brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
brastemp inox inverse,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,11,91,173,brastemp,1
valor da geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
brastemp branca,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,5,91,173,brastemp,1
refrigerador brastemp clean frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
brastemp que agua,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,6,91,173,brastemp,1
brastemp 554l,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,10,91,173,brastemp,1
brastemp geladeira 375 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
Quais são as melhores opções de purificadores Brastemp para a minha cozinha?,google_ai_mode,comparacao e modelo,purificador,1,brastemp,brastemp,1,0,91,173,brastemp,1
Quais são as melhores opções de purificadores Brastemp para a minha cozinha?,chatgpt,comparacao e modelo,purificador,1,brastemp,brastemp,1,8,91,173,brastemp,1
Quais são as melhores opções de purificadores Brastemp para a minha cozinha?,gemini,comparacao e modelo,purificador,1,brastemp,brastemp,1,0,91,173,brastemp,1
Onde posso encontrar o preço do Brastemp B Blend?,gemini,preco e compra,sem categoria,0,brastemp,brastemp,1,0,91,173,brastemp,1
geladeira brastemp modelos,google_ai_overview,comparacao e modelo,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
geladeira brastemp potencia,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira brastemp frost free duplex 375l inox com,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp frost free duplex 375 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
altura da geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira brastemp frost free duplex 375 litros cor,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,3,91,173,brastemp,1
geladeiras brastemp medidas,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,3,91,173,brastemp,1
geladeira brastemp tres portas inox,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira brastemp bre57fk,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira frost free 375 litros brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira brastemp brm45jk,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
altura geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
preço geladeira brastemp inverse,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira brastemp 554l,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
bro85ak geladeira,google_ai_overview,produto e categoria,geladeira,1,,brastemp,1,9,91,173,brastemp,1
geladeira com freezer brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
brastemp refrigerador ative,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
inverter brastemp,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira brastemp french door bro85ak,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira brastemp inverse 220v,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira frost free brastemp duplex,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
geladeiras inverse brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
purificador de agua gelada brastemp,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira brastemp 375 litros frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
preço da geladeira inverse brastemp,google_ai_overview,preco e compra,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira com agua na porta brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira brastemp 110v,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
refrigerador brastemp french door,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
Como escolher entre Brastemp Inverse e Brastemp Ative na prática?,google_ai_mode,comparacao e modelo,sem categoria,0,brastemp,brastemp,1,0,91,173,brastemp,1
Como escolher entre Brastemp Inverse e Brastemp Ative na prática?,gemini,comparacao e modelo,sem categoria,0,brastemp,brastemp,1,0,91,173,brastemp,1
Como escolher entre Brastemp Inverse e Brastemp Ative na prática?,chatgpt,comparacao e modelo,sem categoria,0,brastemp,brastemp,1,11,91,173,brastemp,1
alugar filtro brastemp,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,5,91,173,brastemp,1
qual a maior geladeira da brastemp,google_ai_overview,comparacao e modelo,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira brastemp lançamento,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
preço geladeira brastemp frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira frost free brastemp 375 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
filtro brastemp de agua,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp 3 porta,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp 554 litros medidas,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,4,91,173,brastemp,1
refrigerador brastemp 554 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
brastemp frost free,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
brastemp sparkling,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira frost free ative brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
brastemp três portas,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
aluguel filtro brastemp,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,4,91,173,brastemp,1
brastemp 375 l,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
purificador brastemp agua,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,1,6,91,173,brastemp,1
como mexer no painel da geladeira brastemp frost free,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
brastemp inverse medidas,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
medidas geladeira brastemp inverse,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp frost free inverse inox,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeiras brastemp frost free ative,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
refrigerador brastemp 375 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira bre57fk,google_ai_overview,produto e categoria,geladeira,1,,brastemp,1,8,91,173,brastemp,1
geladeira brastemp 550 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
manual da geladeira frost free brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
largura geladeira padrão,google_ai_overview,produto e categoria,geladeira,1,,,1,8,91,173,brastemp,1
dimensões geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
geladeira refrigerador brastemp frost free duplex,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,12,91,173,brastemp,1
geladeira brastemp tres portas,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
tamanho geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
brm brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,9,91,173,brastemp,1
geladeira freezer invertido brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
purificador de agua brastemp preço,google_ai_overview,preco e compra,purificador,1,brastemp,brastemp,1,5,91,173,brastemp,1
brastemp duplex frost free,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,4,91,173,brastemp,1
brastemp purificador de agua,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,1,5,91,173,brastemp,1
largura geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira e freezer brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
geladeira 3 portas medidas,google_ai_overview,especificacao de produto,geladeira,1,,,1,7,91,173,brastemp,1
tamanho da geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,3,91,173,brastemp,1
medida geladeira inverse brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
maior geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
filtro de água brastemp,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira brastemp frost free 2 portas,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
Qual a diferença entre Brastemp B Blend e outros modelos Brastemp?,gemini,comparacao e modelo,sem categoria,0,brastemp,brastemp,1,0,91,173,brastemp,1
brastemp inverter geladeira,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
purificador sparkling,google_ai_overview,produto e categoria,purificador,1,,brastemp,1,8,91,173,brastemp,1
refrigerador frost free brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
geladeira inverse da brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
purificador de água da brastemp,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,1,6,91,173,brastemp,1
a geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,15,91,173,brastemp,1
geladeira side by side brastemp medidas,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,9,91,173,brastemp,1
parte traseira da geladeira brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
geladeira brastemp invertida,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,17,91,173,brastemp,1
refrigerador brastemp frost free inverse,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
frost free inox brastemp,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,11,91,173,brastemp,1
brastemp filtro aluguel,google_ai_overview,peca e filtro,sem categoria,0,brastemp,brastemp,1,5,91,173,brastemp,1
brastemp invert,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,11,91,173,brastemp,1
refrigerador inverse maxi brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,5,91,173,brastemp,1
geladeira brastemp com congelador embaixo,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
refrigerador frost free inverse brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
tamanho da geladeira brastemp inverse,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
purificador da brastemp,google_ai_overview,produto e categoria,purificador,1,brastemp,brastemp,1,5,91,173,brastemp,1
medidas geladeiras brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,10,91,173,brastemp,1
medidas da geladeira inverse brastemp,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
refrigerador inox brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
bre57fk,google_ai_overview,produto e categoria,sem categoria,0,,brastemp,1,3,91,173,brastemp,1
bro85ak,google_ai_overview,produto e categoria,sem categoria,0,,brastemp,1,6,91,173,brastemp,1
geladeira 3 portas brastemp,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,11,91,173,brastemp,1
inverse preta brastemp,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,3,91,173,brastemp,1
Quais geladeiras Brastemp com 3 portas são mais indicadas para famílias grandes?,google_ai_mode,especificacao de produto,geladeira,1,brastemp,brastemp,1,0,91,173,brastemp,1
Quais geladeiras Brastemp com 3 portas são mais indicadas para famílias grandes?,gemini,especificacao de produto,geladeira,1,brastemp,brastemp,1,0,91,173,brastemp,1
brastemp brm45jk,google_ai_overview,produto e categoria,sem categoria,0,brastemp,brastemp,1,11,91,173,brastemp,1
geladeira brastemp inverse 479 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
qual a maior geladeira brastemp,google_ai_overview,comparacao e modelo,geladeira,1,brastemp,brastemp,1,6,91,173,brastemp,1
brastemp 375 litros,google_ai_overview,especificacao de produto,sem categoria,0,brastemp,brastemp,1,8,91,173,brastemp,1
tamanho geladeira brastemp inverse,google_ai_overview,produto e categoria,geladeira,1,brastemp,brastemp,1,7,91,173,brastemp,1
geladeira brastemp frost free inverse 447 litros,google_ai_overview,especificacao de produto,geladeira,1,brastemp,brastemp,1,8,91,173,brastemp,1
