pergunta,provedor,marca,posicao,posicao_diff,sentimento,citada,familia,categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,All AI Platforms,Consul,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,All AI Platforms,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,All AI Platforms,Midea,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,All AI Platforms,Samsung,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Gemini,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Gemini,Consul,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Gemini,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Gemini,Midea,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Gemini,Samsung,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Google AI Mode,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Google AI Mode,Consul,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Google AI Mode,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Google AI Mode,Midea,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Google AI Mode,Samsung,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Perplexity,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Perplexity,Consul,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Perplexity,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Perplexity,Midea,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,Perplexity,Samsung,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,ChatGPT,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,ChatGPT,Consul,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,ChatGPT,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,ChatGPT,Midea,,,,0,nao classificado,sem categoria
Aquecedores cerâmicos são mais eficientes que a óleo?,ChatGPT,Samsung,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,All AI Platforms,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,All AI Platforms,Consul,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,All AI Platforms,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,All AI Platforms,Midea,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,All AI Platforms,Samsung,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Perplexity,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Perplexity,Consul,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Perplexity,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Perplexity,Midea,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Perplexity,Samsung,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Gemini,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Gemini,Consul,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Gemini,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Gemini,Midea,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Gemini,Samsung,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Google AI Mode,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Google AI Mode,Consul,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Google AI Mode,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Google AI Mode,Midea,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,Google AI Mode,Samsung,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,ChatGPT,Electrolux,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,ChatGPT,Consul,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,ChatGPT,Brastemp,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,ChatGPT,Midea,,,,0,nao classificado,sem categoria
Aquecedores portáteis com proteção antiqueda são mais seguros?,ChatGPT,Samsung,,,,0,nao classificado,sem categoria
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,All AI Platforms,Electrolux,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,All AI Platforms,Consul,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,All AI Platforms,Brastemp,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,All AI Platforms,Midea,3.0,,100%,1,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,All AI Platforms,Samsung,2.0,,100%,1,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,ChatGPT,Electrolux,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,ChatGPT,Consul,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,ChatGPT,Brastemp,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,ChatGPT,Midea,3.0,new,100%,1,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,ChatGPT,Samsung,2.0,new,100%,1,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Gemini,Electrolux,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Gemini,Consul,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Gemini,Brastemp,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Gemini,Midea,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Gemini,Samsung,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Google AI Mode,Electrolux,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Google AI Mode,Consul,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Google AI Mode,Brastemp,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Google AI Mode,Midea,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Google AI Mode,Samsung,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Perplexity,Electrolux,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Perplexity,Consul,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Perplexity,Brastemp,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Perplexity,Midea,,,,0,conectividade e smart,ar condicionado
Ar-condicionado com Wi-Fi: quais vantagens reais no dia a dia?,Perplexity,Samsung,,,,0,conectividade e smart,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,All AI Platforms,Electrolux,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,All AI Platforms,Consul,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,All AI Platforms,Brastemp,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,All AI Platforms,Midea,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,All AI Platforms,Samsung,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Gemini,Electrolux,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Gemini,Consul,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Gemini,Brastemp,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Gemini,Midea,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Gemini,Samsung,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Google AI Mode,Electrolux,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Google AI Mode,Consul,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Google AI Mode,Brastemp,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Google AI Mode,Midea,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Google AI Mode,Samsung,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Perplexity,Electrolux,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Perplexity,Consul,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Perplexity,Brastemp,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Perplexity,Midea,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,Perplexity,Samsung,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,ChatGPT,Electrolux,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,ChatGPT,Consul,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,ChatGPT,Brastemp,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,ChatGPT,Midea,,,,0,consumo e eficiencia,ar condicionado
Ar-condicionado split inverter realmente reduz a conta de luz?,ChatGPT,Samsung,,,,0,consumo e eficiencia,ar condicionado
Aspiradores 2 em 1 substituem um aspirador tradicional?,All AI Platforms,Electrolux,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,All AI Platforms,Consul,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,All AI Platforms,Brastemp,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,All AI Platforms,Midea,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,All AI Platforms,Samsung,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Gemini,Electrolux,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Gemini,Consul,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Gemini,Brastemp,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Gemini,Midea,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Gemini,Samsung,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Google AI Mode,Electrolux,,lost,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Google AI Mode,Consul,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Google AI Mode,Brastemp,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Google AI Mode,Midea,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Google AI Mode,Samsung,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Perplexity,Electrolux,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Perplexity,Consul,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Perplexity,Brastemp,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Perplexity,Midea,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,Perplexity,Samsung,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,ChatGPT,Electrolux,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,ChatGPT,Consul,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,ChatGPT,Brastemp,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,ChatGPT,Midea,,,,0,nao classificado,aspirador
Aspiradores 2 em 1 substituem um aspirador tradicional?,ChatGPT,Samsung,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,All AI Platforms,Electrolux,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,All AI Platforms,Consul,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,All AI Platforms,Brastemp,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,All AI Platforms,Midea,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,All AI Platforms,Samsung,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,ChatGPT,Electrolux,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,ChatGPT,Consul,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,ChatGPT,Brastemp,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,ChatGPT,Midea,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,ChatGPT,Samsung,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Gemini,Electrolux,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Gemini,Consul,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Gemini,Brastemp,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Gemini,Midea,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Gemini,Samsung,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Google AI Mode,Electrolux,,lost,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Google AI Mode,Consul,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Google AI Mode,Brastemp,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Google AI Mode,Midea,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Google AI Mode,Samsung,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Perplexity,Electrolux,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Perplexity,Consul,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Perplexity,Brastemp,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Perplexity,Midea,,,,0,nao classificado,aspirador
Aspiradores com luz LED no bocal ajudam a enxergar sujeira?,Perplexity,Samsung,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,All AI Platforms,Electrolux,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,All AI Platforms,Consul,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,All AI Platforms,Brastemp,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,All AI Platforms,Midea,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,All AI Platforms,Samsung,2.0,,100%,1,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,ChatGPT,Electrolux,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,ChatGPT,Consul,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,ChatGPT,Brastemp,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,ChatGPT,Midea,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,ChatGPT,Samsung,2.0,new,100%,1,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Gemini,Electrolux,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Gemini,Consul,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Gemini,Brastemp,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Gemini,Midea,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Gemini,Samsung,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Google AI Mode,Electrolux,,lost,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Google AI Mode,Consul,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Google AI Mode,Brastemp,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Google AI Mode,Midea,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Google AI Mode,Samsung,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Perplexity,Electrolux,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Perplexity,Consul,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Perplexity,Brastemp,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Perplexity,Midea,,,,0,nao classificado,aspirador
Aspiradores verticais sem fio: o que observar na autonomia da bateria?,Perplexity,Samsung,,,,0,nao classificado,aspirador
Assinatura de refil de filtro de água compensa a longo prazo?,Google AI Mode,Electrolux,1.0,0.0,0%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Google AI Mode,Consul,4.0,1.0,0%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Google AI Mode,Brastemp,3.0,1.0,100%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Google AI Mode,Midea,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Google AI Mode,Samsung,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,ChatGPT,Electrolux,1.0,+2.0,100%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,ChatGPT,Consul,,lost,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,ChatGPT,Brastemp,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,ChatGPT,Midea,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,ChatGPT,Samsung,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,All AI Platforms,Electrolux,1.3,,100%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,All AI Platforms,Consul,4.0,,0%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,All AI Platforms,Brastemp,3.0,,100%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,All AI Platforms,Midea,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,All AI Platforms,Samsung,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Gemini,Electrolux,2.0,1.0,100%,1,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Gemini,Consul,,lost,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Gemini,Brastemp,,lost,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Gemini,Midea,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Gemini,Samsung,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Perplexity,Electrolux,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Perplexity,Consul,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Perplexity,Brastemp,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Perplexity,Midea,,,,0,peca e consumivel,purificador
Assinatura de refil de filtro de água compensa a longo prazo?,Perplexity,Samsung,,,,0,peca e consumivel,purificador
Cafeteira com moedor integrado compensa para uso diário?,All AI Platforms,Electrolux,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,All AI Platforms,Consul,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,All AI Platforms,Brastemp,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,All AI Platforms,Midea,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,All AI Platforms,Samsung,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Gemini,Electrolux,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Gemini,Consul,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Gemini,Brastemp,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Gemini,Midea,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Gemini,Samsung,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Google AI Mode,Electrolux,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Google AI Mode,Consul,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Google AI Mode,Brastemp,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Google AI Mode,Midea,,,,0,nao classificado,sem categoria
Cafeteira com moedor integrado compensa para uso diário?,Google AI Mode,Samsung,,,,0,nao classificado,sem categoria
