fonte,topico,texto,llm,familia,categoria,marcas_mencionadas,n_fontes_citadas,relevancia
prompts_topico_eletrolux,eletrolux,Como escolher entre produtos de decoração e eletro da DecorLux para renovar um ambiente pequeno no apartamento?,google_ai_mode,aquisicao e comparacao,sem categoria,1,15,92
prompts_topico_eletrolux,eletrolux,Como escolher entre produtos de decoração e eletro da DecorLux para renovar um ambiente pequeno no apartamento?,chatgpt,aquisicao e comparacao,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,Como escolher entre produtos de decoração e eletro da DecorLux para renovar um ambiente pequeno no apartamento?,gemini,aquisicao e comparacao,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,depurador 90cm electrolux,google_ai_overview,nao classificado,sem categoria,1,7,92
prompts_topico_eletrolux,eletrolux,depurador inox 60cm electrolux,google_ai_overview,nao classificado,sem categoria,1,13,92
prompts_topico_eletrolux,eletrolux,coifa parede electrolux,google_ai_overview,nao classificado,coccao,1,6,92
prompts_topico_eletrolux,eletrolux,coifa de ilha electrolux,google_ai_overview,nao classificado,coccao,1,10,92
prompts_topico_eletrolux,eletrolux,depurador de ar 5 bocas inox electrolux,google_ai_overview,nao classificado,sem categoria,1,6,92
prompts_topico_eletrolux,eletrolux,Eletro Light Brasil,chatgpt,nao classificado,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,Eletro Light Brasil,gemini,nao classificado,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,DecorLux Decoração e Eletro,chatgpt,nao classificado,sem categoria,1,12,92
prompts_topico_eletrolux,eletrolux,DecorLux Decoração e Eletro,google_ai_mode,nao classificado,sem categoria,1,7,92
prompts_topico_eletrolux,eletrolux,DecorLux Decoração e Eletro,gemini,nao classificado,sem categoria,1,0,92
prompts_topico_eletrolux,eletrolux,coifas de ilha electrolux,google_ai_overview,nao classificado,coccao,1,5,92
prompts_topico_eletrolux,eletrolux,Como entrar em contato com o suporte da Eletro Light ou lidar com uma reclamação sobre um produto?,google_ai_mode,nao classificado,sem categoria,1,5,92
prompts_topico_eletrolux,eletrolux,Como entrar em contato com o suporte da Eletro Light ou lidar com uma reclamação sobre um produto?,chatgpt,nao classificado,sem categoria,1,17,92
prompts_topico_eletrolux,eletrolux,coifa ilha 90cm electrolux,google_ai_overview,nao classificado,coccao,1,8,92
prompts_topico_eletrolux,eletrolux,coifa electrolux 5 bocas,google_ai_overview,nao classificado,coccao,1,8,92
prompts_topico_eletrolux,eletrolux,coifa ilha electrolux 90cm,google_ai_overview,nao classificado,coccao,1,6,92
prompts_topico_eletrolux,eletrolux,Quais são as melhores opções de eletrodomésticos nas Lojas de Eletroeletrônicos no Brasil para um orçamento médio?,chatgpt,aquisicao e comparacao,sem categoria,17,12,91
prompts_topico_eletrolux,eletrolux,Lojas de Eletroeletrônicos,google_ai_mode,nao classificado,sem categoria,17,3,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores opções de eletrodomésticos nas Lojas de Eletroeletrônicos no Brasil para um orçamento médio?,google_ai_mode,aquisicao e comparacao,sem categoria,16,16,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas online de eletroeletrônicos no Brasil e como comparar preços entre elas?,gemini,aquisicao e comparacao,sem categoria,14,0,91
prompts_topico_eletrolux,eletrolux,"Como verificar a reputação e confiabilidade de lojas de eletrodomésticos com domínio .com.br, como as da lista?",gemini,nao classificado,sem categoria,12,0,91
prompts_topico_eletrolux,eletrolux,Como comparar preços entre lojas de eletrodomésticos online e físicas para encontrar as promoções mais atuais?,gemini,nao classificado,sem categoria,12,0,91
prompts_topico_eletrolux,eletrolux,Como comparar preços entre lojas de eletrodomésticos online e físicas para encontrar as promoções mais atuais?,google_ai_mode,nao classificado,sem categoria,12,11,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas online de eletroeletrônicos no Brasil e como comparar preços entre elas?,chatgpt,aquisicao e comparacao,sem categoria,11,25,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores opções de eletrodomésticos nas Lojas de Eletroeletrônicos no Brasil para um orçamento médio?,gemini,aquisicao e comparacao,sem categoria,11,0,91
prompts_topico_eletrolux,eletrolux,Onde posso encontrar os melhores preços de utensílios de cozinha Electrolux no Brasil?,gemini,aquisicao e comparacao,sem categoria,11,0,91
prompts_topico_eletrolux,eletrolux,Onde encontro lava-louças Electrolux com os melhores preços e entregas rápidas no Brasil?,gemini,aquisicao e comparacao,lava loucas,10,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas online de eletroeletrônicos no Brasil oferecem melhor suporte ao cliente e garantia?,chatgpt,garantia,sem categoria,10,24,91
prompts_topico_eletrolux,eletrolux,Quais lojas online de eletroeletrônicos no Brasil oferecem melhor suporte ao cliente e garantia?,gemini,garantia,sem categoria,10,0,91
prompts_topico_eletrolux,eletrolux,Quais são as dicas para identificar promoções reais em lojas de eletroeletrônicos no Brasil e evitar golpes?,gemini,nao classificado,sem categoria,10,0,91
prompts_topico_eletrolux,eletrolux,Onde encontro avaliações confiáveis sobre a loja Eletrohome e quais dicas para evitar golpes ao comprar eletroeletrônicos online?,gemini,aquisicao e comparacao,sem categoria,10,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas online no Brasil costumam oferecer promoções em liquidificadores Electrolux com copo de vidro?,gemini,nao classificado,sem categoria,10,0,91
prompts_topico_eletrolux,eletrolux,Eletro no Brasil,google_ai_mode,nao classificado,sem categoria,10,15,91
prompts_topico_eletrolux,eletrolux,Existe diferença entre a Eletrotintas Serra e outras lojas de tintas elétricas no Brasil?,chatgpt,aquisicao e comparacao,sem categoria,9,18,91
prompts_topico_eletrolux,eletrolux,Lojas de Eletroeletrônicos,gemini,nao classificado,sem categoria,9,0,91
prompts_topico_eletrolux,eletrolux,Quais são as dicas para identificar promoções reais em lojas de eletroeletrônicos no Brasil e evitar golpes?,google_ai_mode,nao classificado,sem categoria,9,7,91
prompts_topico_eletrolux,eletrolux,Onde encontro os materiais elétricos da Lumiluz com os melhores preços no Brasil?,gemini,aquisicao e comparacao,sem categoria,9,0,91
prompts_topico_eletrolux,eletrolux,Foxlux vs outras marcas de iluminação: quais as vantagens?,chatgpt,aquisicao e comparacao,sem categoria,9,12,91
prompts_topico_eletrolux,eletrolux,Quais são as opções mais recomendadas da Eletrocenter para materiais elétricos residenciais ou profissionais?,google_ai_mode,nao classificado,sem categoria,9,42,91
prompts_topico_eletrolux,eletrolux,Quais são os melhores eletrodomésticos da linha Eletrohome disponíveis no Brasil e como escolher entre eles?,google_ai_mode,aquisicao e comparacao,sem categoria,9,6,91
prompts_topico_eletrolux,eletrolux,Qual é a melhor forma de comparar preços entre lojas de eletrodomésticos e itens elétricos no Brasil?,gemini,aquisicao e comparacao,sem categoria,9,0,91
prompts_topico_eletrolux,eletrolux,Como comparar consumo de energia e garantia das geladeiras Electrolux em lojas online?,gemini,garantia,geladeira,8,0,91
prompts_topico_eletrolux,eletrolux,Existe diferença entre a Eletrotintas Serra e outras lojas de tintas elétricas no Brasil?,gemini,aquisicao e comparacao,sem categoria,8,0,91
prompts_topico_eletrolux,eletrolux,Quais são os produtos mais populares da Eletrocenter e onde encontrá-los online?,google_ai_mode,nao classificado,sem categoria,8,11,91
prompts_topico_eletrolux,eletrolux,Pode me dizer qual lâmpada é certa para minha geladeira Electrolux e onde comprar no Brasil?,gemini,peca e consumivel,geladeira,8,0,91
prompts_topico_eletrolux,eletrolux,"Quais são os principais produtos da Eletrotintas e onde posso encontrar lojas nas cidades Serra, Cariacica e Vila Velha?",gemini,nao classificado,sem categoria,8,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas online e físicas mais confiáveis vendem eletrodomésticos Electrolux no Brasil?,google_ai_mode,nao classificado,sem categoria,8,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas online de eletroeletrônicos no Brasil oferecem melhor suporte ao cliente e garantia?,google_ai_mode,garantia,sem categoria,8,7,91
prompts_topico_eletrolux,eletrolux,Lojas de Eletroeletrônicos,chatgpt,nao classificado,sem categoria,8,12,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas no Brasil para comprar ar condicionado Electrolux com bom preço?,gemini,aquisicao e comparacao,ar condicionado,8,0,91
prompts_topico_eletrolux,eletrolux,Quais marcas e opções de lâmpadas LED são recomendadas para uso doméstico pela Lumiluz?,gemini,nao classificado,sem categoria,8,0,91
prompts_topico_eletrolux,eletrolux,Qual é a melhor forma de comparar preços entre lojas de eletrodomésticos e itens elétricos no Brasil?,google_ai_mode,aquisicao e comparacao,sem categoria,8,8,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas online de eletroeletrônicos no Brasil e como comparar preços entre elas?,google_ai_mode,aquisicao e comparacao,sem categoria,7,8,91
prompts_topico_eletrolux,eletrolux,Eletrotintas Brasil,gemini,nao classificado,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas no Brasil vendem lâmpadas Empalux com frete rápido?,google_ai_mode,nao classificado,sem categoria,7,5,91
prompts_topico_eletrolux,eletrolux,"Como escolher entre eletrodomésticos de lojas diferentes como Magazine Luiza, Shopee e Mercado Livre para minha casa?",gemini,aquisicao e comparacao,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lâmpadas LED para iluminação de ambientes na Loox Iluminação e em lojas como Leroy Merlin?,chatgpt,aquisicao e comparacao,sem categoria,7,10,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lâmpadas LED para iluminação de ambientes na Loox Iluminação e em lojas como Leroy Merlin?,google_ai_mode,aquisicao e comparacao,sem categoria,7,8,91
prompts_topico_eletrolux,eletrolux,Onde posso encontrar peças de reposição ou manuais para o micro-ondas Electrolux MEC41/ME41X?,google_ai_mode,nao classificado,coccao,7,10,91
prompts_topico_eletrolux,eletrolux,Onde posso comprar purificadores Electrolux com entrega rápida no Brasil e com garantia?,google_ai_mode,garantia,purificador,7,5,91
prompts_topico_eletrolux,eletrolux,Quais cuidados tomar ao comprar eletrônicos nessas lojas para evitar golpes e garantir a validade da garantia?,google_ai_mode,garantia,sem categoria,7,11,91
prompts_topico_eletrolux,eletrolux,Onde comprar transformadores Fiolux com garantia e suporte?,gemini,garantia,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Como validar se uma loja da Eletrotintas é confiável e tem boa reputação online?,gemini,nao classificado,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Onde encontro os materiais elétricos da Lumiluz com os melhores preços no Brasil?,chatgpt,aquisicao e comparacao,sem categoria,7,12,91
prompts_topico_eletrolux,eletrolux,Quais marcas e opções de lâmpadas LED são recomendadas para uso doméstico pela Lumiluz?,chatgpt,nao classificado,sem categoria,7,12,91
prompts_topico_eletrolux,eletrolux,Quais marcas e opções de lâmpadas LED são recomendadas para uso doméstico pela Lumiluz?,google_ai_mode,nao classificado,sem categoria,7,3,91
prompts_topico_eletrolux,eletrolux,Onde encontro avaliações confiáveis sobre a loja Eletrohome e quais dicas para evitar golpes ao comprar eletroeletrônicos online?,chatgpt,aquisicao e comparacao,sem categoria,7,15,91
prompts_topico_eletrolux,eletrolux,Quais lojas online no Brasil costumam oferecer promoções em liquidificadores Electrolux com copo de vidro?,chatgpt,nao classificado,sem categoria,7,13,91
prompts_topico_eletrolux,eletrolux,Foxlux vs outras marcas de iluminação: quais as vantagens?,google_ai_mode,aquisicao e comparacao,sem categoria,7,12,91
prompts_topico_eletrolux,eletrolux,Quais promoções ou combinações de produtos são comuns na Eletrohome Brasil e como aproveitá-las sem pagar frete alto?,gemini,nao classificado,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Onde posso comprar chaleira elétrica Electrolux com preço bom no Brasil?,gemini,aquisicao e comparacao,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,Quais lojas confiáveis oferecem lâmpadas LED para geladeira Electrolux e quais modelos são compatíveis?,gemini,nao classificado,geladeira,7,0,91
prompts_topico_eletrolux,eletrolux,Onde posso encontrar os melhores preços de utensílios de cozinha Electrolux no Brasil?,chatgpt,aquisicao e comparacao,sem categoria,7,16,91
prompts_topico_eletrolux,eletrolux,Onde encontrar informações sobre transparência e reclamações de lojas de eletrodomésticos no Brasil?,gemini,nao classificado,sem categoria,7,0,91
prompts_topico_eletrolux,eletrolux,chaleira eletrica desligamento automatico,google_ai_overview,nao classificado,sem categoria,6,7,91
prompts_topico_eletrolux,eletrolux,Eletroshop Brasil,gemini,nao classificado,sem categoria,6,0,91
prompts_topico_eletrolux,eletrolux,Eletroshop Brasil,chatgpt,nao classificado,sem categoria,6,17,91
prompts_topico_eletrolux,eletrolux,Quais lojas no Brasil vendem lâmpadas Empalux com frete rápido?,gemini,nao classificado,sem categoria,6,0,91
prompts_topico_eletrolux,eletrolux,Materiais Elétricos Eletroluz,google_ai_mode,nao classificado,sem categoria,6,29,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lâmpadas LED para iluminação de ambientes na Loox Iluminação e em lojas como Leroy Merlin?,gemini,aquisicao e comparacao,sem categoria,6,0,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores práticas para escolher materiais elétricos para uma loja como a Eletroluz no Brasil?,google_ai_mode,aquisicao e comparacao,sem categoria,6,11,91
prompts_topico_eletrolux,eletrolux,"Quais são os principais produtos da Eletrotintas e onde posso encontrar lojas nas cidades Serra, Cariacica e Vila Velha?",chatgpt,nao classificado,sem categoria,6,12,91
prompts_topico_eletrolux,eletrolux,Quais lojas online e físicas mais confiáveis vendem eletrodomésticos Electrolux no Brasil?,chatgpt,nao classificado,sem categoria,6,11,91
prompts_topico_eletrolux,eletrolux,Onde encontro lava-louças Electrolux com os melhores preços e entregas rápidas no Brasil?,google_ai_mode,aquisicao e comparacao,lava loucas,6,0,91
prompts_topico_eletrolux,eletrolux,Como comparar fornecedores de materiais elétricos para lojas como a Eletroluz em diferentes cidades brasileiras e verificar a confiabilidade deles?,gemini,nao classificado,sem categoria,6,0,91
prompts_topico_eletrolux,eletrolux,Como comparar fornecedores de materiais elétricos para lojas como a Eletroluz em diferentes cidades brasileiras e verificar a confiabilidade deles?,google_ai_mode,nao classificado,sem categoria,6,9,91
prompts_topico_eletrolux,eletrolux,Foxlux Iluminação pt,google_ai_mode,nao classificado,sem categoria,6,9,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas no Brasil para comprar ar condicionado Electrolux com bom preço?,chatgpt,aquisicao e comparacao,ar condicionado,6,13,91
prompts_topico_eletrolux,eletrolux,Onde encontro avaliações confiáveis sobre a loja Eletrohome e quais dicas para evitar golpes ao comprar eletroeletrônicos online?,google_ai_mode,aquisicao e comparacao,sem categoria,6,4,91
prompts_topico_eletrolux,eletrolux,Quais lojas online no Brasil costumam oferecer promoções em liquidificadores Electrolux com copo de vidro?,google_ai_mode,nao classificado,sem categoria,6,0,91
prompts_topico_eletrolux,eletrolux,Foxlux vs outras marcas de iluminação: quais as vantagens?,gemini,aquisicao e comparacao,sem categoria,6,2,91
prompts_topico_eletrolux,eletrolux,Quais são os melhores eletrodomésticos da linha Eletrohome disponíveis no Brasil e como escolher entre eles?,chatgpt,aquisicao e comparacao,sem categoria,6,14,91
prompts_topico_eletrolux,eletrolux,Onde posso encontrar torradeiras Electrolux com melhor preço no Brasil e com garantia?,google_ai_mode,garantia,sem categoria,6,12,91
prompts_topico_eletrolux,eletrolux,ar condicionado electrolux inverter techno,google_ai_overview,especificacao produto,ar condicionado,6,17,91
prompts_topico_eletrolux,eletrolux,"Como comparar preços e opções de iluminação entre lojas como Mercado Livre, MercadoShops e Leroy Merlin?",google_ai_mode,nao classificado,sem categoria,6,5,91
prompts_topico_eletrolux,eletrolux,Onde encontrar informações sobre transparência e reclamações de lojas de eletrodomésticos no Brasil?,google_ai_mode,nao classificado,sem categoria,6,8,91
prompts_topico_eletrolux,eletrolux,Quais são as diferenças entre panela de pressão elétrica Electrolux e outras marcas?,chatgpt,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Quais são as diferenças entre panela de pressão elétrica Electrolux e outras marcas?,google_ai_mode,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Quais são as diferenças entre panela de pressão elétrica Electrolux e outras marcas?,gemini,nao classificado,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores opções de tinta elétrica para manutenção de painéis e quadros elétricos?,gemini,aquisicao e comparacao,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Quais são os produtos mais comuns encontrados em lojas com nomes parecidos com Eletro Sol no Brasil?,chatgpt,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Onde encontrar assistência técnica Electrolux perto de mim e como agendar manutenção?,google_ai_mode,assistencia e reparo,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Eletrotintas Brasil,google_ai_mode,nao classificado,sem categoria,5,6,91
prompts_topico_eletrolux,eletrolux,Quais são os produtos mais populares da Eletrocenter e onde encontrá-los online?,chatgpt,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,panela de pressão eletrica 10l electrolux,google_ai_overview,nao classificado,sem categoria,5,8,91
prompts_topico_eletrolux,eletrolux,Como otimizar o site de uma loja de materiais elétricos para aparecer bem em buscas locais no Brasil?,gemini,nao classificado,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Como otimizar o site de uma loja de materiais elétricos para aparecer bem em buscas locais no Brasil?,chatgpt,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Quais são as diferenças entre comprar eletroeletrônicos na Eletrohome e em grandes marketplaces brasileiros?,google_ai_mode,aquisicao e comparacao,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Quais são as diferenças entre comprar eletroeletrônicos na Eletrohome e em grandes marketplaces brasileiros?,gemini,aquisicao e comparacao,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,purificador de água pe12g,google_ai_overview,nao classificado,purificador,5,8,91
prompts_topico_eletrolux,eletrolux,Pode me dizer qual lâmpada é certa para minha geladeira Electrolux e onde comprar no Brasil?,google_ai_mode,peca e consumivel,geladeira,5,9,91
prompts_topico_eletrolux,eletrolux,Como comparar fornecedores de materiais elétricos para lojas como a Eletroluz em diferentes cidades brasileiras e verificar a confiabilidade deles?,chatgpt,nao classificado,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,panela de pressão elétrica 10l electrolux,google_ai_overview,nao classificado,sem categoria,5,8,91
prompts_topico_eletrolux,eletrolux,Quais são as melhores lojas no Brasil para comprar ar condicionado Electrolux com bom preço?,google_ai_mode,aquisicao e comparacao,ar condicionado,5,4,91
prompts_topico_eletrolux,eletrolux,Como identificar um produto Foxlux autêntico ao comprar pela internet?,google_ai_mode,aquisicao e comparacao,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Como identificar um produto Foxlux autêntico ao comprar pela internet?,chatgpt,aquisicao e comparacao,sem categoria,5,12,91
prompts_topico_eletrolux,eletrolux,Quais são os melhores eletrodomésticos da linha Eletrohome disponíveis no Brasil e como escolher entre eles?,gemini,aquisicao e comparacao,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Onde posso encontrar torradeiras Electrolux com melhor preço no Brasil e com garantia?,gemini,garantia,sem categoria,5,0,91
prompts_topico_eletrolux,eletrolux,Eletrocenter: Materiais Elétricos,google_ai_mode,nao classificado,sem categoria,5,22,91
prompts_topico_eletrolux,eletrolux,ar condicionado electrolux wifi,google_ai_overview,conectividade e smart,ar condicionado,5,8,91
prompts_topico_eletrolux,eletrolux,Onde posso comprar chaleira elétrica Electrolux com preço bom no Brasil?,google_ai_mode,aquisicao e comparacao,sem categoria,5,7,91
prompts_topico_eletrolux,eletrolux,Quais lojas confiáveis oferecem lâmpadas LED para geladeira Electrolux e quais modelos são compatíveis?,google_ai_mode,nao classificado,geladeira,5,5,91
prompts_topico_eletrolux,eletrolux,aspirador de pó com filtro hepa,google_ai_overview,peca e consumivel,aspirador,5,11,91
